Name,id,Start-End,Games,FGm,FGa,FG3m,FG3a,mins,FTm,FTa,Reb,Ast,Stl,Blk,Tov,PF,Pts,FG%,FT%,FG3%,MVPs,All-Stars
Reggie Theus,78310,1978-91,1087,7319,15598,245,987,36101,4877,5925,3478,6805,1256,248,3649,3179,19760,0.469226824,0.823122363,0.24822695,0,2
Isaiah Thomas,202738,2011-24,677,3729,8684,1256,3497,18503,2780,3187,1569,3112,551,74,1495,1388,11494,0.42941041,0.872293693,0.359164999,0,2
Andrew Toney,78351,1980-88,468,2859,5718,138,403,12608,1602,2010,1009,1965,369,105,1394,1341,7458,0.5,0.797014925,0.342431762,0,2
Kelly Tripucka,78369,1981-91,707,4434,9380,168,465,20959,3106,3660,2703,2090,678,137,1697,1634,12142,0.472707889,0.84863388,0.361290323,0,2
Kiki Vandeweghe,78404,1980-93,855,6339,12125,237,640,25455,3564,4086,2856,1737,487,254,1351,1638,16479,0.522804124,0.872246696,0.3703125,0,2
Jimmy Walker,78439,1967-76,773,5206,11279,0,0,26548,2680,3236,2064,2736,334,45,0,1905,13092,0.461565742,0.828182942,0,0,2
Bill Walton,78450,1974-87,468,2552,4900,0,4,13250,1111,1683,4923,1590,380,1034,865,1298,6215,0.520816327,0.660130719,0,1,2
Scott Wedman,78482,1974-87,981,5527,11501,94,283,27720,1611,2030,4637,1888,889,318,1009,2777,12759,0.480566907,0.793596059,0.332155477,0,2
David West,2561,2003-18,1034,5703,11519,57,215,29141,2571,3148,6590,2273,764,850,1660,2408,14034,0.49509506,0.816709022,0.265116279,0,2
Gus Williams,78549,1975-87,825,5793,12570,108,454,25645,2399,3173,2222,4597,1638,291,1646,1637,14093,0.460859189,0.756066814,0.237885463,0,2
Zion Williamson,1629627,2019-24,184,1753,2960,29,85,5857,1007,1449,1199,761,182,111,518,401,4542,0.59222973,0.694962043,0.341176471,0,2
Brian Winters,78600,1974-83,650,4490,9457,114,314,19938,1443,1713,1688,2674,792,190,1014,1830,10537,0.474780586,0.842381786,0.363057325,0,2
Shareef Abdur-Rahim,949,1996-08,915,5935,12569,163,553,31567,4379,5372,6878,2283,888,675,2320,2546,16412,0.472193492,0.815152643,0.294755877,0,1
Alvan Adams,76011,1975-88,988,5709,11464,2,15,27203,2490,3160,6937,4012,1289,808,2194,3214,13910,0.497993719,0.787974684,0.133333333,0,1
Michael Adams,149,1985-96,653,3257,7849,949,2857,20446,2158,2543,1900,4209,1081,67,1402,1193,9621,0.414957319,0.848604011,0.332166608,0,1
Danny Ainge,76017,1981-95,1115,5123,10956,1118,2956,30132,1881,2220,3023,4601,1226,140,1711,2735,13245,0.467597663,0.847297297,0.378213802,0,1
Jarrett Allen,1628386,2017-24,549,2758,4384,25,130,15589,1450,2043,5072,896,326,720,770,1082,6991,0.629105839,0.709740578,0.192307692,0,1
Kenny Anderson,72,1991-05,1092,4867,11603,703,2016,31951,2723,3459,3237,6417,1547,131,2182,2480,13160,0.419460484,0.78722174,0.348710317,0,1
LaMelo Ball,1630163,2020-24,184,1310,3070,526,1406,5870,529,634,1147,1364,286,63,602,570,3675,0.426710098,0.834384858,0.374110953,0,1
Paolo Banchero,1631094,2022-24,152,1119,2529,204,636,5229,799,1093,1051,700,131,86,447,313,3241,0.442467378,0.731015554,0.320754717,0,1
Don Barksdale,76102,1951-55,262,1016,2747,0,0,7460,863,1307,2088,549,0,0,0,941,2895,0.369858027,0.660290742,0,0,1
Scottie Barnes,1630567,2021-24,211,1369,2890,222,713,7389,544,712,1563,990,238,204,455,480,3504,0.473702422,0.764044944,0.311360449,0,1
Dick Barnett,76107,1959-74,971,6034,13227,0,0,28937,3290,4324,2812,2729,1,0,0,2514,15358,0.4561881,0.760869565,0,0,1
Dana Barros,344,1989-04,850,3281,7140,1090,2652,19479,1249,1456,1609,2837,740,46,1213,1074,8901,0.45952381,0.85782967,0.411010558,0,1
Butch Beard,76130,1969-79,680,2415,4991,0,0,15987,1392,1811,2352,2407,580,44,164,1797,6222,0.483870968,0.768636113,0,0,1
Ralph Beard,76131,1949-51,126,749,2046,0,0,0,508,660,251,551,0,0,0,228,2006,0.366080156,0.76969697,0,0,1
Mookie Blaylock,302,1989-02,889,4705,11499,1283,3816,31028,1269,1724,3659,5972,2075,300,2067,1687,11962,0.409166014,0.736078886,0.336215933,0,1
John Block,76187,1966-76,724,3142,7219,0,0,17296,2336,2992,4759,969,153,99,0,2096,8620,0.435240338,0.780748663,0,0,1
Bob Boozer,76206,1960-71,955,5429,11834,0,0,27928,3314,4374,7715,1333,0,0,0,2720,14172,0.458762887,0.757658893,0,0,1
Vince Boryla,76210,1949-54,285,1187,3200,0,0,5162,813,996,831,610,0,0,0,922,3187,0.3709375,0.81626506,0,0,1
Bill Bradley,76233,1967-77,742,3927,8763,0,0,22799,1363,1623,2354,2533,209,65,0,2363,9217,0.448134201,0.839802834,0,0,1
Fred Brown,76272,1971-84,963,6006,12568,110,295,24422,1896,2211,2637,3160,1149,166,840,1937,14018,0.477880331,0.857530529,0.372881356,0,1
Jalen Brunson,1628973,2018-24,422,2656,5431,626,1601,11939,1193,1448,1362,1974,291,40,686,757,7131,0.489044375,0.823895028,0.391005621,0,1
Don Buse,76317,1976-85,648,1829,4139,169,507,17070,658,844,1507,2920,1160,97,601,967,4485,0.441894177,0.779620853,0.333333333,0,1
Andrew Bynum,101115,2005-14,444,2011,3671,1,9,11206,1024,1480,3366,519,139,686,678,1059,5047,0.547807137,0.691891892,0.111111111,0,1
Austin Carr,76348,1971-81,729,4446,9948,2,20,20317,1787,2235,2051,1936,448,68,511,1447,10681,0.446924005,0.799552573,0.1,0,1
Joe Barry Carroll,76353,1980-91,858,5735,12266,0,17,26563,2722,3634,6336,1474,784,1343,2270,2599,14192,0.467552584,0.749036874,0,0,1
Bill Cartwright,76362,1979-95,963,4656,8868,0,2,27491,3401,4412,6106,1390,460,668,1892,2833,12713,0.525033829,0.770852221,0,0,1
Sam Cassell,208,1993-08,1117,6307,13966,778,2346,32999,3953,4589,3554,6494,1181,188,2703,3064,17345,0.451596735,0.861407714,0.331628303,0,1
Cedric Ceballos,76,1990-01,746,4001,8085,304,1005,17688,1913,2539,3915,867,532,229,1180,1336,10219,0.494867038,0.753446239,0.302487562,0,1
Tyson Chandler,2199,2001-20,1215,3619,6063,0,12,32495,2444,3801,10774,1004,651,1358,1698,3378,9682,0.596899225,0.642988687,0,0,1
Len Chappell,76382,1962-71,858,3196,7053,0,0,15410,1747,2498,4585,620,0,0,0,1700,8139,0.453140508,0.699359488,0,0,1
Derrick Coleman,934,1990-05,781,4616,10335,326,1105,25901,3326,4326,7232,1985,606,1051,2036,2062,12884,0.446637639,0.768839575,0.295022624,0,1
Jack Coleman,76414,1949-58,633,2813,6763,0,0,16479,1095,1575,5186,1749,0,0,0,1927,6721,0.415939672,0.695238095,0,0,1
